TAXON,SPECIES,SUBSPECIES,DISSECTED.BY.MOUNTAINS,LAT.RANGE,ENV.SHIELDING,GLACIATION,ISLAND.DWELLING,HABITAT.HETEROGENEITY,BODY.SIZE,MEAN.PRECIP,VARIANCE.PRECIP,PREDICTABILITY.PRECIP,MEAN.TEMP,VARIANCE.TEMP,PREDICTABILITY.TEMP,NPP,BREEDING.RANGE.AREA,ENV.HARSHNESS,GEOGRAPHIC.COVERAGE,RAINFALL.UNPREDICTABILITY,RESIDUAL.BODY.SIZE,SOURCE.HIBERNATION.DATA,N.MOST.LAT,S.MOST.LAT,CENTROID
birds,Oreoscopus_gutturalis,2,FALSE,Tropical,0,0,0,2,20,103.8639526,20349.6239,0.420296226,22.8973444,9.899658151,0.641625437,4.78E+11,102332.644,-0.058921144,0.294290521,2.732626949,-0.291158786,,-14.83984794,-20.15438722,-17.82911927
birds,Origma_solitaria,1,FALSE,Temperate,0,0,0,1,14.35,74.67538545,3481.087454,0.430838841,15.80111493,21.10886682,0.615858069,6.15E+11,56963.0792,0.457724688,-0.928229837,2.325188333,0.022689407,,-31.67733744,-35.4870722,-33.18800191
birds,Pycnoptilus_floccosus,1,FALSE,Temperate,0,0,0,1,29,72.74816668,2548.522387,0.474410101,13.53250162,22.10845308,0.613623776,5.92E+11,244790.1411,0.601811244,-0.747436211,1.558135294,-0.070116785,,-30.93067496,-39.00000003,-35.34930766
birds,Pyrrholaemus_brunneus,1,FALSE,Mixed,0,0,0,2,12.5,17.94196073,420.1527862,0.500148711,20.56327959,34.16039022,0.578856804,92173471468,3285368.97,1.366927452,-0.314585401,0.961334286,0.489190768,,-18.67482997,-36.08085939,-27.57592226
birds,Sericornis_arfakianus,1,FALSE,Tropical,0,0,1,1,8.7,256.2880746,9519.755351,0.722432475,23.22926631,0.426424628,0.777328132,6.52E+11,177301.407,-1.20050394,-0.764949215,-0.569614635,1.093356047,,-0.478928392,-10.23376289,-5.299622108
birds,Sericornis_beccarii,11,FALSE,Tropical,0,0,1,3,11.925,256.013252,13316.75242,0.730325182,26.3242737,0.558450205,0.772604583,8.39E+11,342767.4871,-1.233570809,0.543549262,-0.691408118,1.115037116,,-2.707751409,-14.02552793,-6.471403286
birds,Sericornis_citreogularis,2,TRUE,Mixed,0,0,0,3,17.625,99.78115882,9847.183244,0.439769353,18.02357873,15.86751442,0.632132372,7.01E+11,169010.204,0.302973153,0.493562411,2.251070285,0.094189603,,-14.86489177,-36.33211651,-28.73758402
birds,Sericornis_frontalis,3,FALSE,Mixed,0,0,0,5,13.32857143,48.49646875,2693.956335,0.482146949,16.8542978,22.10834311,0.605471429,3.52E+11,1684687.003,1.246309018,0.987182882,1.361600332,0.628399214,,-15.18175577,-40.9999998,-31.42825011
birds,Sericornis_humilis,1,TRUE,Temperate,0,0,1,1,18.3,82.30314184,2097.860638,0.566590033,10.31533421,10.45244324,0.63961995,4.99E+11,41698.675,0.465584707,-1.668739856,0.978877578,0.313841586,,-39.58131013,-43.6439697,-41.89068819
birds,Sericornis_keri,1,FALSE,Tropical,0,0,0,2,11.4,150.1785837,34509.12759,0.427194245,22.64303326,8.250550024,0.652693595,7.68E+11,24710.6509,-0.597583381,0.461586038,3.160910062,-0.097403544,,-15.66090249,-19.18590529,-17.45784613
birds,Sericornis_nouhuysi,6,FALSE,Tropical,0,0,1,2,17.1,264.7000908,8823.237744,0.741620276,21.02542527,0.396023857,0.781731752,4.10E+11,98597.0697,-0.910653264,-0.913847693,-0.724163595,0.836334971,,-0.961352806,-9.640808641,-5.202921533
birds,Sericornis_papuensis,3,FALSE,Tropical,0,0,1,2,11.2,266.582607,9559.42462,0.736260642,21.28452599,0.420679455,0.778618502,3.56E+11,82255.3542,-0.895146068,-0.968461882,-0.552534059,0.9840876,,-3.391280045,-9.567425587,-5.299337265
birds,Sericornis_perspicillatus,1,FALSE,Tropical,0,0,1,1,9,266.2575419,10053.17107,0.730625041,21.61497231,0.440039823,0.77709761,4.62E+11,116826.2725,-1.065298689,-1.095917574,-0.53347988,1.0402512,,-3.044774376,-10.14004628,-5.358775041
birds,Sericornis_spilodera,7,TRUE,Tropical,0,0,1,1,11.7,259.2819597,9440.411265,0.727795247,24.82849051,0.369621989,0.782394158,8.27E+11,274496.455,-1.385678867,-0.437515885,-0.770997187,1.02391205,,0.039370019,-10.32565754,-5.220081839
birds,Sericornis_virgatus,2,FALSE,Tropical,0,0,1,1,12.4,262.4412561,6201.708405,0.779921661,24.91395685,0.194666929,0.801907592,8.37E+11,71964.6922,-1.512026031,-1.068067795,-1.204164328,1.107419587,,-0.449456336,-5.055792518,-3.227568297
birds,Smicrornis_brevirostris,7,FALSE,Mixed,0,0,0,5,5.3,35.67819287,3083.63984,0.49528478,21.34636397,28.38243263,0.591464058,1.78E+11,7230947.431,1.355878336,1.332711605,1.196840515,1.089246595,,-10.01742816,-39.13893994,-25.70483082
birds,Accipiter_albogularis,5,FALSE,Tropical,0,0,1,1,250.5,270.3721904,4786.376123,0.903564445,25.42564507,0.321002354,0.826303173,5.27E+11,38065.8045,-1.385506815,-1.733961126,-2.673808477,-0.078189192,,-4.361232783,-11.85057447,-8.226953673
birds,Accipiter_badius,6,TRUE,Mixed,0,0,0,4,131.5,75.46845074,9678.744448,0.633575458,22.89630482,20.62791263,0.662317574,3.52E+11,22170108.74,0.578368771,1.595001816,-0.56962235,-0.078416246,,46.38733896,-34.39635795,7.135151648
birds,Accipiter_bicolor,5,TRUE,Mixed,0,0,0,3,301,146.4485297,11783.33314,0.657238097,23.68965757,3.82735146,0.678559601,7.67E+11,14309568.89,-0.258934068,1.592426648,-0.903999902,-0.385286975,,23.73277124,-55.72033633,-10.10235901
birds,Accipiter_brachyurus,1,FALSE,Tropical,0,0,1,1,142,339.0838175,24287.99111,0.658531458,24.66332187,0.184882946,0.797525699,7.68E+11,19412.4171,-1.818386784,-0.558644662,0.265249111,-0.60489975,,-4.075998668,-6.309889434,-4.960391255
