"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"3562","Megaxenops_parnaguae",0.107581967449519,1,-11.25378695,"Tropical",7.580877909,"Megaxenops","Furnariidae","Passeriformes","Passeriformes","Furnariidae"
"3563","Meiglyptes_jugularis",0.286726440545187,1,16.52796205,"Mixed",2.064500925,"Meiglyptes","Picidae","Piciformes","Piciformes","Picidae"
"3564","Meiglyptes_tristis",0.20363327300145,2,1.095643612,"Tropical",2.828515035,"Meiglyptes","Picidae","Piciformes","Piciformes","Picidae"
"3565","Meiglyptes_tukki",0.286726440545187,5,1.200492996,"Tropical",2.064500925,"Meiglyptes","Picidae","Piciformes","Piciformes","Picidae"
"3566","Melaenornis_annamarulae",0.242283439359113,1,6.650100992,"Tropical",2.461973178,"Melaenornis","Muscicapidae","Passeriformes","Passeriformes","Muscicapidae"
"3567","Melaenornis_ardesiacus",0.400962666526283,1,-2.369272452,"Tropical",0.8605983153,"Melaenornis","Muscicapidae","Passeriformes","Passeriformes","Muscicapidae"
"3568","Melaenornis_edolioides",0.400962666526283,3,8.39217584,"Tropical",0.8605983153,"Melaenornis","Muscicapidae","Passeriformes","Passeriformes","Muscicapidae"
"3569","Melaenornis_pammelaina",0.1726274549673,5,-14.25989252,"Mixed",3.700446588,"Melaenornis","Muscicapidae","Passeriformes","Passeriformes","Muscicapidae"
"3570","Melanerpes_aurifrons",0.490864462731738,10,21.17315723,"Mixed",1.411072477,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3571","Melanerpes_cactorum",0.346207498841612,1,-25.78107641,"Mixed",0.8834787179,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3572","Melanerpes_candidus",0.18473457806755,2,-19.44603151,"Mixed",4.343321497,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3573","Melanerpes_carolinus",0.375463885409866,1,36.6977839,"Temperate",1.696370801,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3574","Melanerpes_chrysauchen",0.414034943516021,2,8.899893091,"Tropical",1.628985959,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3575","Melanerpes_chrysogenys",0.346207498841612,2,19.45433699,"Mixed",0.8834787179,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3576","Melanerpes_cruentatus",0.224966430983083,1,-4.362009001,"Tropical",1.513234182,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3577","Melanerpes_erythrocephalus",0.239067959085559,2,40.96562487,"Temperate",0.269597963,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3578","Melanerpes_flavifrons",0.169355351965427,2,-22.06147748,"Mixed",4.432506931,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3579","Melanerpes_formicivorus",0.154249052104684,7,25.78683562,"Mixed",5.532110267,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3580","Melanerpes_herminieri",0.239067959085559,1,16.24575008,"Tropical",0.269597963,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3581","Melanerpes_hoffmannii",0.18473457806755,1,11.03552694,"Tropical",4.343321497,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3582","Melanerpes_hypopolius",0.406475384060474,1,17.52747922,"Tropical",1.289973954,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3583","Melanerpes_lewis",0.18538070949658,3,43.29997294,"Temperate",2.692384977,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3584","Melanerpes_portoricensis",0.204356735916765,1,18.22588236,"Tropical",2.35287357,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3585","Melanerpes_pucherani",0.224966430983083,1,9.167102502,"Tropical",1.513234182,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3586","Melanerpes_pygmaeus",0.512262761285884,3,19.76842406,"Tropical",0.7027221212,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3587","Melanerpes_radiolatus",0.18538070949658,1,18.15616857,"Tropical",2.692384977,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3588","Melanerpes_rubricapillus",0.414034943516021,3,9.175401506,"Tropical",1.628985959,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3589","Melanerpes_striatus",0.0873134858226906,4,18.24437431,"Tropical",10.46007053,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3590","Melanerpes_superciliaris",0.490864462731738,5,-7.777437549,"Tropical",1.411072477,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3591","Melanerpes_uropygialis",0.406475384060474,4,28.96080804,"Mixed",1.289973954,"Melanerpes","Picidae","Piciformes","Piciformes","Picidae"
"3592","Melanocharis_crassirostris",0.179276063604857,3,-5.952909928,"Tropical",0.8165183092,"Melanocharis","Melanocharitidae","Passeriformes","",""
"3593","Melanocharis_longicauda",0.0451933263028872,5,-5.415415225,"Tropical",14.72998882,"Melanocharis","Melanocharitidae","Passeriformes","",""
"3594","Melanocharis_nigra",0.0967168433967838,4,-5.137082642,"Tropical",3.545389619,"Melanocharis","Melanocharitidae","Passeriformes","",""
"3595","Melanocharis_striativentris",0.0338703673590098,4,-6.07681417,"Tropical",19.03584455,"Melanocharis","Melanocharitidae","Passeriformes","",""
"3596","Melanocharis_versteri",0.0583650828388922,4,-5.106782318,"Tropical",12.13990266,"Melanocharis","Melanocharitidae","Passeriformes","",""
"3597","Melanochlora_sultanea",0.0429212924886833,4,19.60354493,"Mixed",18.94009074,"Melanochlora","Paridae","Passeriformes","Passeriformes","Paridae"
"3598","Melanocorypha_bimaculata",0.130241982916713,3,40.75480938,"Temperate",4.575806995,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3599","Melanocorypha_calandra",0.124313308788891,3,40.36628205,"Temperate",5.30815744,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3600","Melanocorypha_leucoptera",0.223095901851132,1,49.45378526,"Temperate",1.286738766,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3601","Melanocorypha_maxima",0.223095901851132,3,33.79353925,"Temperate",1.286738766,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3602","Melanocorypha_mongolica",0.216725345216052,6,44.84940383,"Temperate",1.184078992,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3603","Melanocorypha_yeltoniensis",0.216725345216052,1,51.54963168,"Temperate",1.184078992,"Melanocorypha","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"3604","Melanodera_melanodera",0.194199419021784,2,-49.96766959,"Temperate",1.342573508,"Melanodera","Thraupidae","Passeriformes","",""
"3605","Melanodera_xanthogramma",0.194199419021784,2,-46.89760791,"Temperate",1.342573508,"Melanodera","Thraupidae","Passeriformes","",""
"3606","Melanodryas_cucullata",0.0908225371200005,2,-26.16868598,"Mixed",2.393170745,"Melanodryas","Petroicidae","Passeriformes","Passeriformes","Petroicidae"
"3607","Melanodryas_vittata",0.0908225371200005,1,-41.93817252,"Temperate",2.393170745,"Melanodryas","Petroicidae","Passeriformes","Passeriformes","Petroicidae"
"3608","Melanopareia_elegans",0.0401167991959785,3,-4.005508243,"Tropical",13.43270127,"Melanopareia","Melanopareiidae","Passeriformes","Passeriformes","Rhinocryptidae"
"3609","Melanopareia_maximiliani",0.0398253674008074,2,-25.01946409,"Mixed",13.79752314,"Melanopareia","Melanopareiidae","Passeriformes","Passeriformes","Rhinocryptidae"
"3610","Melanopareia_torquata",0.0398253674008074,2,-14.59944227,"Mixed",13.79752314,"Melanopareia","Melanopareiidae","Passeriformes","Passeriformes","Rhinocryptidae"
"3611","Melanoptila_glabrirostris",0.124830566372399,1,19.18735461,"Tropical",5.507271964,"Melanoptila","Mimidae","Passeriformes","Passeriformes","Mimidae"
"3612","Melanotis_caerulescens",0.103523830961192,2,20.89796295,"Mixed",4.657938595,"Melanotis","Mimidae","Passeriformes","Passeriformes","Mimidae"
"3613","Melanotis_hypoleucus",0.103523830961192,1,15.21784223,"Tropical",4.657938595,"Melanotis","Mimidae","Passeriformes","Passeriformes","Mimidae"
"3614","Meleagris_ocellata",0.0972392904083496,1,18.17176155,"Tropical",0.8892038977,"Meleagris","Phasianidae","Galliformes","Galliformes","Phasianidae"
"3615","Melichneutes_robustus",0.0759146900813766,1,0.408215448,"Tropical",8.271725813,"Melichneutes","Indicatoridae","Piciformes","Piciformes","Indicatoridae"
"3616","Melidora_macrorrhina",0.0738500736912852,3,-5.261281365,"Tropical",11.10485894,"Melidora","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"3617","Melierax_canorus",0.0862058979470158,2,-25.30741265,"Mixed",1.973043809,"Melierax","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"3618","Melierax_metabates",0.0546310726307515,5,2.466616192,"Mixed",15.38197755,"Melierax","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"3619","Melierax_poliopterus",0.0862058979470158,1,2.870381745,"Tropical",1.973043809,"Melierax","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"3620","Melignomon_eisentrauti",0.112697454186358,1,6.93547284,"Tropical",4.573948753,"Melignomon","Indicatoridae","Piciformes","Piciformes","Indicatoridae"
"3621","Melignomon_zenkeri",0.112697454186358,1,2.208348544,"Tropical",4.573948753,"Melignomon","Indicatoridae","Piciformes","Piciformes","Indicatoridae"
"3622","Mellisuga_helenae",0.770645670908666,1,21.61159068,"Tropical",0.4075179942,"Mellisuga","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"3623","Mellisuga_minima",0.770645670908666,2,18.58680905,"Tropical",0.4075179942,"Mellisuga","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"3624","Melocichla_mentalis",0.0641393291389796,5,-0.784298326,"Tropical",10.7765083,"Melocichla","Macrosphenidae","Passeriformes","Passeriformes","Sylviidae"
"3625","Melophus_lathami",0.086048918834022,1,27.22168483,"Mixed",9.492657474,"Melophus","Emberizidae","Passeriformes","",""
"3626","Melopyrrha_nigra",0.147290467260319,2,21.61293033,"Tropical",6.080050633,"Melopyrrha","Thraupidae","Passeriformes","",""
"3627","Melospiza_georgiana",0.30813387006942,2,47.00188206,"Temperate",1.967213106,"Melospiza","Passerellidae","Passeriformes","",""
"3628","Melospiza_lincolnii",0.30813387006942,3,45.83322756,"Temperate",1.967213106,"Melospiza","Passerellidae","Passeriformes","",""
"3629","Melospiza_melodia",0.221069113151011,39,47.41641294,"Mixed",3.456440376,"Melospiza","Passerellidae","Passeriformes","",""
