"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"124","Aegotheles_wallacii",-3.20233752277155,3,-4.464793262,"Tropical",10.40586996,"Aegotheles","Aegothelidae","Caprimulgiformes","Apodiformes","Aegothelidae"
"125","Aegypius_monachus",-2.17913208838455,1,39.62483195,"Mixed",3.625153688,"Aegypius","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"126","Aenigmatolimnas_marginalis",-2.26882935191486,1,-8.551309131,"Tropical",10.38520565,"Aenigmatolimnas","Rallidae","Gruiformes","Gruiformes","Rallidae"
"127","Aepypodius_arfakianus",-2.53066263327316,2,-5.280617427,"Tropical",6.800617215,"Aepypodius","Megapodiidae","Galliformes","Galliformes","Megapodiidae"
"128","Aeronautes_andecolus",-2.59078203488565,3,-23.74850891,"Mixed",8.311105153,"Aeronautes","Apodidae","Caprimulgiformes","Apodiformes","Apodidae"
"129","Aeronautes_montivagus",-2.64114874424724,2,1.666749335,"Tropical",7.870836184,"Aeronautes","Apodidae","Apodiformes","Apodiformes","Apodidae"
"130","Aeronautes_saxatalis",-2.56523244760214,2,33.7449534,"Mixed",7.870836184,"Aeronautes","Apodidae","Caprimulgiformes","Apodiformes","Apodidae"
"131","Aethopyga_boltoni",-2.08139921822563,3,7.323541202,"Tropical",4.822424628,"Aethopyga","Nectariniidae","Passeriformes","",""
"132","Aethopyga_christinae",-2.47249144561027,3,25.34192213,"Mixed",2.217867964,"Aethopyga","Nectariniidae","Passeriformes","",""
"133","Aethopyga_flagrans",-2.14809135379822,4,14.97181299,"Tropical",3.60115829,"Aethopyga","Nectariniidae","Passeriformes","",""
"134","Aethopyga_gouldiae",-2.24460218090107,4,26.40854971,"Mixed",3.60115829,"Aethopyga","Nectariniidae","Passeriformes","",""
"135","Aethopyga_ignicauda",-2.15523327149138,2,26.3240809,"Mixed",3.19095053,"Aethopyga","Nectariniidae","Passeriformes","",""
"136","Aethopyga_linaraborae",-2.20076156030914,1,7.392208033,"Tropical",4.046440841,"Aethopyga","Nectariniidae","Passeriformes","",""
"137","Aethopyga_mystacalis",-2.27522325498732,2,0.529341054,"Tropical",0.4813855336,"Aethopyga","Nectariniidae","Passeriformes","",""
"138","Aethopyga_nipalensis",-2.21566890254867,9,24.13384269,"Mixed",0.6312196697,"Aethopyga","Nectariniidae","Passeriformes","",""
"139","Aethopyga_pulcherrima",-2.22933038033667,3,11.82967914,"Tropical",1.372897166,"Aethopyga","Nectariniidae","Passeriformes","",""
"140","Aethopyga_saturata",-2.11155518281197,10,21.03981927,"Mixed",4.046440841,"Aethopyga","Nectariniidae","Passeriformes","",""
"141","Aethopyga_shelleyi",-2.15060518396327,7,9.942483746,"Tropical",1.372897166,"Aethopyga","Nectariniidae","Passeriformes","",""
"142","Aethopyga_siparaja",-2.34046717402426,16,14.19076266,"Mixed",0.6312196697,"Aethopyga","Nectariniidae","Passeriformes","",""
"143","Afropavo_congensis",-2.56356485707117,1,-0.797470772,"Tropical",8.054551531,"Afropavo","Phasianidae","Galliformes","Galliformes","Phasianidae"
"144","Agamia_agami",-2.88859460936063,1,5.866714527,"Tropical",9.738530053,"Agamia","Ardeidae","Pelecaniformes","Pelecaniformes","Ardeidae"
"145","Agapornis_pullarius",-2.69442122665509,2,4.593552791,"Tropical",5.493679295,"Agapornis","Psittacidae","Psittaciformes","Psittaciformes","Psittacidae"
"146","Agelaius_humeralis",-1.21207537845877,2,21.55598937,"Tropical",0.7395060726,"Agelaius","Icteridae","Passeriformes","",""
"147","Agelaius_phoeniceus",-1.54473195355858,26,45.29552014,"Mixed",4.503832868,"Agelaius","Icteridae","Passeriformes","",""
"148","Agelaius_tricolor",-1.55111442072324,1,38.364541,"Temperate",4.380437222,"Agelaius","Icteridae","Passeriformes","",""
"149","Agelastes_meleagrides",-2.47006863907494,1,6.417769541,"Tropical",4.480439401,"Agelastes","Numididae","Galliformes","Galliformes","Numididae"
"150","Agelastes_niger",-2.47006863907494,1,1.096557313,"Tropical",4.480439401,"Agelastes","Numididae","Galliformes","Galliformes","Numididae"
"151","Aglaeactis_castelnaudii",-1.23169212464647,2,-11.6013013,"Tropical",0.2579921186,"Aglaeactis","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"152","Aglaeactis_cupripennis",-1.90595098197354,2,-5.120226624,"Tropical",2.111297037,"Aglaeactis","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"153","Aglaeactis_pamela",-1.22968550185681,1,-16.87734713,"Tropical",0.2579921186,"Aglaeactis","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"154","Aglaiocercus_coelestis",-1.64946586225868,2,1.595676414,"Tropical",2.788300646,"Aglaiocercus","Trochilidae","Apodiformes","Apodiformes","Trochilidae"
"155","Aglaiocercus_kingi",-1.42659150547806,7,-2.056139448,"Tropical",2.788300646,"Aglaiocercus","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"156","Aimophila_notosticta",-1.57621908627542,1,17.08396932,"Tropical",2.434049095,"Aimophila","Passerellidae","Passeriformes","",""
"157","Aimophila_rufescens",-1.85816494498147,7,14.98205568,"Mixed",4.552778572,"Aimophila","Passerellidae","Passeriformes","",""
"158","Aimophila_ruficeps",-1.57621908627542,12,29.22017927,"Mixed",2.434049095,"Aimophila","Passerellidae","Passeriformes","",""
"159","Aix_galericulata",-1.73308275550095,1,42.14841407,"Mixed",3.584305504,"Aix","Anatidae","Anseriformes","Anseriformes","Anatidae"
"160","Aix_sponsa",-1.73308275550095,1,42.90496343,"Mixed",3.584305504,"Aix","Anatidae","Anseriformes","Anseriformes","Anatidae"
"161","Alaemon_alaudipes",-2.42455951147874,4,25.7291495,"Mixed",2.193354782,"Alaemon","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"162","Alauda_arvensis",-1.75734673213948,12,48.12243796,"Mixed",3.941978072,"Alauda","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"163","Alauda_gulgula",-1.61084882888509,12,29.40961824,"Mixed",0.3721062655,"Alauda","Alaudidae","Passeriformes","Passeriformes","Alaudidae"
"164","Alcedo_argentata",-1.29639890447276,2,8.381949947,"Tropical",1.076879408,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"165","Alcedo_atthis",-1.92967645979611,7,24.2805496,"Mixed",4.124999686,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"166","Alcedo_azurea",-1.60905701046565,8,-20.14849417,"Mixed",1.520741823,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"167","Alcedo_cristata",-2.03172083817885,3,-3.461952091,"Mixed",2.009957714,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"168","Alcedo_euryzona",-2.70072687858451,2,1.032379613,"Tropical",7.159505831,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"169","Alcedo_leucogaster",-2.4092682028008,4,1.831697114,"Tropical",4.647134931,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
"170","Alcedo_meninting",-2.02468456577345,11,10.44825641,"Mixed",3.217930021,"Alcedo","Alcedinidae","Coraciiformes","Coraciiformes","Alcedinidae"
