"sp","DR","ssp","lat"
"Alcedo_meninting",0.175598062462637,11,10.44825641
"Alcedo_pusilla",0.162724217205001,9,-7.729633213
"Alcedo_quadribrachys",0.205868198261104,2,1.579069527
"Alcedo_semitorquata",0.260605030275581,3,-13.9403064
"Alcedo_vintsioides",0.206405941030706,2,-19.35342981
"Alcedo_websteri",0.260888555264418,1,-4.649569022
"Alcippe_brunnea",0.0940014490197928,7,27.7281361
"Alcippe_brunneicauda",0.093743432790692,2,1.861660204
"Alcippe_castaneceps",0.0704701786708218,4,21.58110394
"Alcippe_chrysotis",0.130852756042864,5,28.30432719
"Alcippe_cinerea",0.062178616456355,7,26.35518989
"Alcippe_cinereiceps",0.414490936115745,7,31.03388212
"Alcippe_morrisonia",0.0980686589648093,7,25.80229811
"Alcippe_nipalensis",0.130852756042864,3,26.0864394
"Alcippe_peracensis",0.0980686589648093,4,11.05896805
"Alcippe_poioicephala",0.0517455126267693,8,20.04216361
"Alcippe_vinipectus",0.19859052026895,8,28.7997448
"Aleadryas_rufinucha",0.0400792501334558,4,-5.22399284
"Alectoris_barbara",0.0934882042833447,4,32.21168293
"Alectoris_chukar",0.169201075038338,14,39.84332178
"Alectoris_graeca",0.170567127786023,3,42.95328027
"Alectoris_magna",0.25015526231968,1,36.68908094
"Alectoris_melanocephala",0.0934882042833447,1,17.28022223
"Alectoris_philbyi",0.25015526231968,1,17.56980663
"Alectoris_rufa",0.169201075038338,3,52.97511853
"Alectroenas_madagascariensis",0.165418433121051,1,-19.06974578
"Alectroenas_sganzini",0.165418433121051,2,-11.87284649
"Alectrurus_tricolor",0.139839704760612,1,-18.44013613
"Alectura_lathami",0.0339324885730871,2,-22.76436948
"Alethe_choloensis",0.166707521343828,2,-15.4646948
"Alethe_diademata",0.0715407961751066,2,1.029747072
"Alethe_fuelleborni",0.166707521343828,1,-9.382776501
"Alethe_poliocephala",0.0899155767847887,10,2.77581024
"Alethe_poliophrys",0.112266229874785,2,-2.087169025
"Alisterus_amboinensis",0.252000013006827,6,-1.902317724
"Alisterus_chloropterus",0.143956530194162,3,-5.431239961
"Alisterus_scapularis",0.252000013006827,2,-29.50662231
"Alophoixus_affinis",0.0858742224150001,9,-1.39256071
"Alophoixus_bres",0.146707390672037,5,0.73811103
"Alophoixus_finschii",0.0621107339978704,1,0.809578187
"Alophoixus_flaveolus",0.146707390672037,2,23.07280632
"Alophoixus_ochraceus",0.10079277660078,8,4.249641904
"Alophoixus_pallidus",0.10079277660078,7,20.28433592
"Alophoixus_phaeocephalus",0.0858742224150001,4,0.856908237
"Alopochelidon_fucata",0.0958717758384848,1,-5.994818593
"Amadina_erythrocephala",0.14934730698787,2,-22.38085312
"Amadina_fasciata",0.14934730698787,3,2.813340955
"Amalocichla_incerta",0.0430987210836914,3,-5.51810325
"Amandava_amandava",0.109187332154377,3,20.59797758
"Amandava_subflava",0.109187332154377,2,-6.833725864
"Amaurolimnas_concolor",0.0699825530073253,3,3.288045477
"Amaurornis_akool",0.0321508578967649,2,25.04135495
"Amaurornis_flavirostra",0.0639579188593452,1,-2.641802466
"Amaurornis_phoenicurus",0.050737227041092,4,23.06170735
"Amaurospiza_concolor",0.117423444960908,3,8.714512922
"Amaurospiza_moesta",0.129129361442841,1,-24.71679975
"Amazilia_amabilis",0.307811297446973,1,6.510837161
"Amazilia_amazilia",0.229344288898267,5,-6.407077378
"Amazilia_beryllina",0.665581821220655,5,19.81422983
"Amazilia_boucardi",0.17914986701966,1,9.284097844
"Amazilia_candida",0.132923067131298,3,15.96751795
"Amazilia_castaneiventris",1.08925358294002,1,6.405163349
"Amazilia_chionogaster",0.288166202010638,2,-16.27681117
"Amazilia_cyanifrons",0.178603413622773,3,3.76341319
"Amazilia_cyanocephala",0.48485108748618,2,15.40500852
"Amazilia_cyanura",0.570969765257149,3,13.89192817
"Amazilia_decora",0.431372050246457,1,8.902835067
"Amazilia_edward",0.570969765257149,4,8.441609662
"Amazilia_fimbriata",0.555727581488758,7,-6.775372244
"Amazilia_franciae",0.188502998735519,3,-0.390167381
"Amazilia_lactea",0.398566216140761,3,-13.07652484
"Amazilia_leucogaster",0.317089025725437,2,2.228184528
"Amazilia_rosenbergi",0.48485108748618,1,3.744608473
"Amazilia_rutila",0.132923067131298,4,18.18100768
"Amazilia_saucerrottei",0.665581821220655,4,9.557903206
"Amazilia_tobaci",0.442432226857339,7,7.908589735
"Amazilia_tzacatl",0.192316875384487,5,8.505374118
"Amazilia_versicolor",0.284917152245581,6,-10.92646148
"Amazilia_violiceps",0.52771867818182,2,25.62326716
"Amazilia_viridicauda",0.52771867818182,1,-4.314485275
"Amazilia_viridifrons",0.334740968162966,2,16.67205966
"Amazilia_viridigaster",0.541179145634392,6,5.487808238
"Amazilia_yucatanensis",0.178603413622773,3,23.95580699
"Amazona_aestiva",0.383904070490511,2,-18.85424992
"Amazona_agilis",0.144834953139023,1,18.23646779
"Amazona_albifrons",0.163487459582066,3,17.89784706
"Amazona_amazonica",0.210337886327588,2,-5.141946149
"Amazona_autumnalis",0.265996377240611,4,6.84409239
"Amazona_barbadensis",0.182604310826482,1,11.36319532
"Amazona_collaria",0.267951138322075,1,18.18082672
"Amazona_dufresniana",0.417298172626286,1,4.81341362
"Amazona_farinosa",0.117274599588572,3,-9.511455132
"Amazona_festiva",0.223290008415001,2,-1.050203174
"Amazona_finschi",0.296396462646454,1,22.34066701
"Amazona_leucocephala",0.342310568124279,4,21.86134028
"Amazona_mercenaria",0.150896421346684,2,-3.406610205
"Amazona_ochrocephala",0.966952896652403,4,-1.779277895
"Amazona_oratrix",0.966952896652403,6,18.35492769
"Amazona_pretrei",0.266392897243467,1,-29.42530178
"Amazona_rhodocorytha",0.417298172626286,1,-20.95118707
"Amazona_tucumana",0.266392897243467,1,-23.00088679
"Amazona_ventralis",0.194340168954012,1,18.67394827
"Amazona_vinacea",0.223290008415001,1,-24.80678202
"Amazona_viridigenalis",0.296396462646454,1,22.03775064
"Amazona_xantholora",0.166442277323705,1,19.72012809
"Amazonetta_brasiliensis",0.27153540271174,2,-14.64958926
"Amblycercus_holosericeus",0.0749954626050128,3,8.439463119
"Amblyospiza_albifrons",0.0440219728746598,9,-6.117406031
